---------- Consulta 1 ----------
{'load_database': ['Airports']}
generator
Aeropuerto(id='00A', nombre='heliport', latitud=40.07080078125, longitud=-74.93360137939453, iso='US')
Aeropuerto(id='00LS', nombre='small_airport', latitud=30.13629913330078, longitud=-92.42939758300781, iso='US')
Aeropuerto(id='00MD', nombre='small_airport', latitud=38.75709915161133, longitud=-75.75379943847656, iso='US')
Aeropuerto(id='00MI', nombre='heliport', latitud=43.94940185546875, longitud=-86.41670227050781, iso='US')
Aeropuerto(id='00MN', nombre='small_airport', latitud=46.29999923706055, longitud=-95.70030212402344, iso='US')
Aeropuerto(id='00MO', nombre='small_airport', latitud=37.202800750732, longitud=-94.412399291992, iso='US')
Aeropuerto(id='00MT', nombre='closed', latitud=48.537498, longitud=-109.705002, iso='US')
Aeropuerto(id='00N', nombre='small_airport', latitud=39.473201751708984, longitud=-75.1852035522461, iso='US')
Aeropuerto(id='00NC', nombre='small_airport', latitud=36.085201263427734, longitud=-78.37139892578125, iso='US')
Aeropuerto(id='00NJ', nombre='heliport', latitud=40.52090072631836, longitud=-74.47460174560547, iso='US')
Aeropuerto(id='00NK', nombre='seaplane_base', latitud=44.8118612, longitud=-73.3698057, iso='US')
Aeropuerto(id='00NY', nombre='small_airport', latitud=42.90010070800781, longitud=-77.49970245361328, iso='US')
Aeropuerto(id='00OH', nombre='small_airport', latitud=41.59090042114258, longitud=-84.14219665527344, iso='US')
Aeropuerto(id='00OI', nombre='heliport', latitud=39.74530029296875, longitud=-84.1874008178711, iso='US')
Aeropuerto(id='00OK', nombre='small_airport', latitud=36.198598, longitud=-96.217693, iso='US')
Aeropuerto(id='00OR', nombre='heliport', latitud=44.932899475097656, longitud=-123.12999725341797, iso='US')
Aeropuerto(id='00PA', nombre='heliport', latitud=39.94889831542969, longitud=-75.74690246582031, iso='US')
Aeropuerto(id='00PN', nombre='small_airport', latitud=41.2995, longitud=-80.211111, iso='US')
Aeropuerto(id='00PS', nombre='closed', latitud=40.3778, longitud=-77.365303, iso='US')
Aeropuerto(id='00S', nombre='small_airport', latitud=44.183200836199994, longitud=-122.088996887, iso='US')
Aeropuerto(id='00SC', nombre='small_airport', latitud=34.0093994140625, longitud=-80.26719665527344, iso='US')
Aeropuerto(id='00TA', nombre='heliport', latitud=32.826900482177734, longitud=-97.30580139160156, iso='US')
Aeropuerto(id='00TE', nombre='heliport', latitud=32.847599029541016, longitud=-97.18949890136719, iso='US')
Aeropuerto(id='00TN', nombre='small_airport', latitud=35.515899658203125, longitud=-85.95359802246094, iso='US')
Aeropuerto(id='00TS', nombre='small_airport', latitud=32.607601165771484, longitud=-97.24199676513672, iso='US')
Aeropuerto(id='00TX', nombre='closed', latitud=29.7377, longitud=-94.980201, iso='US')
Aeropuerto(id='00UT', nombre='closed', latitud=37.247798919677734, longitud=-112.8219985961914, iso='US')
Aeropuerto(id='00VA', nombre='small_airport', latitud=36.57600021, longitud=-78.9991684, iso='US')
Aeropuerto(id='00VI', nombre='small_airport', latitud=36.663299560546875, longitud=-80.49949645996094, iso='US')
Aeropuerto(id='00W', nombre='small_airport', latitud=46.673500061035, longitud=-117.44300079346, iso='US')
Aeropuerto(id='00WA', nombre='small_airport', latitud=47.17839813232422, longitud=-122.77200317382812, iso='US')
Aeropuerto(id='00WI', nombre='small_airport', latitud=44.304298400878906, longitud=-89.05010223388672, iso='US')
Aeropuerto(id='00WN', nombre='small_airport', latitud=46.25, longitud=-117.2490005493164, iso='US')
Aeropuerto(id='00WV', nombre='small_airport', latitud=38.82889938354492, longitud=-79.86609649658203, iso='US')
Aeropuerto(id='00WY', nombre='heliport', latitud=42.840361, longitud=-106.224443, iso='US')
Aeropuerto(id='00XS', nombre='small_airport', latitud=33.03340148925781, longitud=-101.93399810791016, iso='US')
Aeropuerto(id='01A', nombre='small_airport', latitud=62.943599700927734, longitud=-152.27000427246094, iso='US')
Aeropuerto(id='01AK', nombre='heliport', latitud=60.105873975399994, longitud=-149.446249008, iso='US')
Aeropuerto(id='01AL', nombre='small_airport', latitud=32.94599914550781, longitud=-86.51390075683594, iso='US')
Aeropuerto(id='01AR', nombre='heliport', latitud=34.047298431396484, longitud=-94.35489654541016, iso='US')
Aeropuerto(id='01AZ', nombre='heliport', latitud=34.60810089111328, longitud=-111.86499786376953, iso='US')
Aeropuerto(id='01C', nombre='closed', latitud=43.341701507568, longitud=-85.775001525879, iso='US')
Aeropuerto(id='01CA', nombre='heliport', latitud=34.368240591699994, longitud=-117.370058745, iso='US')
Aeropuerto(id='01CL', nombre='small_airport', latitud=38.79990005493164, longitud=-120.73400115966797, iso='US')
Aeropuerto(id='01CN', nombre='heliport', latitud=34.03779983520508, longitud=-118.15399932861328, iso='US')
Aeropuerto(id='01CO', nombre='heliport', latitud=39.24530029296875, longitud=-106.24600219726562, iso='US')
Aeropuerto(id='01CT', nombre='heliport', latitud=41.62730026245117, longitud=-72.72750091552734, iso='US')
Aeropuerto(id='01FA', nombre='small_airport', latitud=28.589399337768555, longitud=-81.14420318603516, iso='US')
Aeropuerto(id='01FD', nombre='heliport', latitud=28.666400909423828, longitud=-81.37059783935547, iso='US')
Aeropuerto(id='01FL', nombre='small_airport', latitud=28.78190040588379, longitud=-81.1592025756836, iso='US')
Aeropuerto(id='01GA', nombre='heliport', latitud=32.47930145263672, longitud=-84.9791030883789, iso='US')
Aeropuerto(id='01GE', nombre='small_airport', latitud=32.674400329589844, longitud=-82.77110290527344, iso='US')
Aeropuerto(id='01IA', nombre='small_airport', latitud=41.66109848022461, longitud=-90.74130249023438, iso='US')
Aeropuerto(id='01ID', nombre='small_airport', latitud=42.60820007324219, longitud=-112.03199768066406, iso='US')
Aeropuerto(id='01II', nombre='small_airport', latitud=39.8849983215332, longitud=-86.50669860839844, iso='US')
Aeropuerto(id='01IL', nombre='heliport', latitud=40.45859909057617, longitud=-87.65950012207031, iso='US')
Aeropuerto(id='01IN', nombre='heliport', latitud=40.13090133666992, longitud=-85.69580078125, iso='US')
Aeropuerto(id='01IS', nombre='small_airport', latitud=39.01620101928711, longitud=-90.31819915771484, iso='US')
Aeropuerto(id='01J', nombre='small_airport', latitud=30.68630027770996, longitud=-81.90570068359375, iso='US')
Aeropuerto(id='01K', nombre='small_airport', latitud=37.03609848022461, longitud=-97.5864028930664, iso='US')
Aeropuerto(id='01KS', nombre='small_airport', latitud=38.54059982299805, longitud=-97.00330352783203, iso='US')
Aeropuerto(id='01KY', nombre='heliport', latitud=37.051700592041016, longitud=-88.64689636230469, iso='US')
Aeropuerto(id='01LA', nombre='small_airport', latitud=32.638999938964844, longitud=-91.77369689941406, iso='US')
Aeropuerto(id='01LL', nombre='small_airport', latitud=38.12580108642578, longitud=-89.46389770507812, iso='US')
Aeropuerto(id='01LS', nombre='small_airport', latitud=30.70599937438965, longitud=-91.07740020751953, iso='US')
Aeropuerto(id='01MA', nombre='heliport', latitud=42.625099182128906, longitud=-71.18009948730469, iso='US')
Aeropuerto(id='01MD', nombre='seaplane_base', latitud=38.999199, longitud=-76.456001, iso='US')
Aeropuerto(id='01ME', nombre='seaplane_base', latitud=46.778900146484375, longitud=-68.50029754638672, iso='US')
Aeropuerto(id='01MI', nombre='heliport', latitud=43.04949951171875, longitud=-83.67970275878906, iso='US')
Aeropuerto(id='01MN', nombre='seaplane_base', latitud=47.899600982666016, longitud=-92.55740356445312, iso='US')
Aeropuerto(id='01MO', nombre='heliport', latitud=38.641700744628906, longitud=-90.48429870605469, iso='US')
Aeropuerto(id='01MT', nombre='small_airport', latitud=48.789100646972656, longitud=-114.87999725341797, iso='US')
Aeropuerto(id='01NC', nombre='small_airport', latitud=34.47529983520508, longitud=-77.5813980102539, iso='US')
Aeropuerto(id='01NE', nombre='small_airport', latitud=40.84360122680664, longitud=-100.65299987792969, iso='US')
Aeropuerto(id='01NH', nombre='small_airport', latitud=43.6445, longitud=-72.086998, iso='US')
Aeropuerto(id='01NJ', nombre='heliport', latitud=40.741798400878906, longitud=-74.13710021972656, iso='US')
Aeropuerto(id='01NM', nombre='small_airport', latitud=33.008611, longitud=-104.540278, iso='US')
Aeropuerto(id='01NV', nombre='small_airport', latitud=38.76390075683594, longitud=-119.0270004272461, iso='US')
Aeropuerto(id='01NY', nombre='heliport', latitud=41.70009994506836, longitud=-73.94960021972656, iso='US')
Aeropuerto(id='01OI', nombre='heliport', latitud=40.73059844970703, longitud=-82.80159759521484, iso='US')
Aeropuerto(id='01OK', nombre='small_airport', latitud=35.294498443603516, longitud=-98.6364974975586, iso='US')
Aeropuerto(id='01OR', nombre='closed', latitud=43.119301, longitud=-121.044997, iso='US')
Aeropuerto(id='01PA', nombre='heliport', latitud=40.655601501464844, longitud=-80.0509033203125, iso='US')
Aeropuerto(id='01PN', nombre='small_airport', latitud=40.930599212646484, longitud=-77.73889923095703, iso='US')
Aeropuerto(id='01PS', nombre='small_airport', latitud=41.59590148925781, longitud=-76.02960205078125, iso='US')
Aeropuerto(id='01SC', nombre='small_airport', latitud=35.032100677490234, longitud=-81.25279998779297, iso='US')
Aeropuerto(id='01TA', nombre='heliport', latitud=32.69419860839844, longitud=-97.11579895019531, iso='US')
Aeropuerto(id='01TE', nombre='small_airport', latitud=32.73759841918945, longitud=-96.4280014038086, iso='US')
Aeropuerto(id='01TN', nombre='small_airport', latitud=34.99589920043945, longitud=-89.73059844970703, iso='US')
Aeropuerto(id='01TS', nombre='heliport', latitud=32.72850036621094, longitud=-97.32450103759766, iso='US')
Aeropuerto(id='01TX', nombre='small_airport', latitud=32.38759994506836, longitud=-96.87750244140625, iso='US')
Aeropuerto(id='01U', nombre='small_airport', latitud=38.851600646972656, longitud=-115.63400268554688, iso='US')
Aeropuerto(id='01UT', nombre='small_airport', latitud=38.30830001831055, longitud=-109.39600372314453, iso='US')
Aeropuerto(id='01VA', nombre='small_airport', latitud=39.125, longitud=-77.9250030518, iso='US')
Aeropuerto(id='01WA', nombre='heliport', latitud=46.66320037841797, longitud=-123.81199645996094, iso='US')
Aeropuerto(id='01WI', nombre='small_airport', latitud=44.0099983215332, longitud=-90.38919830322266, iso='US')
Aeropuerto(id='01WN', nombre='heliport', latitud=48.213401794433594, longitud=-122.68499755859375, iso='US')
Aeropuerto(id='01WT', nombre='heliport', latitud=47.518178, longitud=-122.210908, iso='US')
Aeropuerto(id='01WY', nombre='small_airport', latitud=44.347198486328125, longitud=-104.81099700927734, iso='US')
Aeropuerto(id='01XA', nombre='heliport', latitud=30.007222, longitud=-97.853333, iso='US')
Aeropuerto(id='01XS', nombre='heliport', latitud=32.020198822021484, longitud=-95.74549865722656, iso='US')
Aeropuerto(id='02AK', nombre='small_airport', latitud=61.87689971923828, longitud=-150.09800720214844, iso='US')
Aeropuerto(id='02AL', nombre='small_airport', latitud=30.37150001525879, longitud=-87.76439666748047, iso='US')
Aeropuerto(id='02AR', nombre='small_airport', latitud=34.8224449158, longitud=-92.4444198608, iso='US')
Aeropuerto(id='02AZ', nombre='closed', latitud=32.376401, longitud=-109.936996, iso='US')
Aeropuerto(id='02CA', nombre='heliport', latitud=33.58250045776367, longitud=-118.12899780273438, iso='US')
Aeropuerto(id='02CD', nombre='small_airport', latitud=34.129600524902344, longitud=-90.52400207519531, iso='US')
Aeropuerto(id='02CL', nombre='small_airport', latitud=34.761101, longitud=-119.058998, iso='US')
Aeropuerto(id='02CO', nombre='small_airport', latitud=37.64329910279999, longitud=-106.04699707, iso='US')
Aeropuerto(id='02CT', nombre='heliport', latitud=41.91960144042969, longitud=-72.44450378417969, iso='US')
Aeropuerto(id='02FA', nombre='small_airport', latitud=28.52669906616211, longitud=-81.87480163574219, iso='US')
Aeropuerto(id='02FL', nombre='small_airport', latitud=30.642778, longitud=-86.123889, iso='US')
Aeropuerto(id='02GA', nombre='small_airport', latitud=34.202598571777344, longitud=-83.42900085449219, iso='US')
Aeropuerto(id='02GE', nombre='small_airport', latitud=34.17530059814453, longitud=-84.92440032958984, iso='US')
Aeropuerto(id='02HI', nombre='heliport', latitud=21.36199951171875, longitud=-157.9510040283203, iso='US')
Aeropuerto(id='02IA', nombre='heliport', latitud=42.05609893798828, longitud=-93.87799835205078, iso='US')
Aeropuerto(id='02ID', nombre='small_airport', latitud=44.55550003051758, longitud=-115.30500030517578, iso='US')
Aeropuerto(id='02II', nombre='small_airport', latitud=40.06230163574219, longitud=-86.21050262451172, iso='US')
Aeropuerto(id='02IN', nombre='small_airport', latitud=40.208900451660156, longitud=-85.54080200195312, iso='US')
Aeropuerto(id='02IS', nombre='heliport', latitud=42.274600982666016, longitud=-87.9572982788086, iso='US')
Aeropuerto(id='02KS', nombre='small_airport', latitud=39.222198486328125, longitud=-96.0552978515625, iso='US')
Aeropuerto(id='02KT', nombre='heliport', latitud=38.181441, longitud=-83.443319, iso='US')
Aeropuerto(id='02KY', nombre='heliport', latitud=38.18339920043945, longitud=-84.89990234375, iso='US')
Aeropuerto(id='02LA', nombre='heliport', latitud=32.53129959106445, longitud=-93.66020202636719, iso='US')
Aeropuerto(id='02LS', nombre='heliport', latitud=30.148300170898438, longitud=-91.91899871826172, iso='US')
Aeropuerto(id='02MA', nombre='heliport', latitud=41.41960144042969, longitud=-70.927001953125, iso='US')
Aeropuerto(id='02MD', nombre='small_airport', latitud=38.672544, longitud=-76.709739, iso='US')
Aeropuerto(id='02ME', nombre='small_airport', latitud=43.5373, longitud=-70.929397, iso='US')
Aeropuerto(id='02MI', nombre='small_airport', latitud=43.157100677490234, longitud=-85.14849853515625, iso='US')
Aeropuerto(id='02MN', nombre='small_airport', latitud=48.68330001831055, longitud=-96.19200134277344, iso='US')
Aeropuerto(id='02MO', nombre='small_airport', latitud=39.04999923706055, longitud=-91.03350067138672, iso='US')
Aeropuerto(id='02MS', nombre='small_airport', latitud=34.100101470947266, longitud=-90.8468017578125, iso='US')
Aeropuerto(id='02MT', nombre='small_airport', latitud=47.23740005493164, longitud=-111.74199676513672, iso='US')
Aeropuerto(id='02MU', nombre='small_airport', latitud=36.65420150756836, longitud=-93.79740142822266, iso='US')
Aeropuerto(id='02NC', nombre='heliport', latitud=35.541111, longitud=-80.597778, iso='US')
Aeropuerto(id='02NE', nombre='small_airport', latitud=41.074501037597656, longitud=-96.90450286865234, iso='US')
Aeropuerto(id='02NH', nombre='seaplane_base', latitud=44.657100677490234, longitud=-71.21910095214844, iso='US')
Aeropuerto(id='02NJ', nombre='heliport', latitud=40.55730056762695, longitud=-74.46710205078125, iso='US')
Aeropuerto(id='02NV', nombre='small_airport', latitud=41.30329895019531, longitud=-118.5979995727539, iso='US')
Aeropuerto(id='02NY', nombre='heliport', latitud=43.132598876953125, longitud=-75.65550231933594, iso='US')
Aeropuerto(id='02OH', nombre='small_airport', latitud=41.376399993896484, longitud=-83.08329772949219, iso='US')
Aeropuerto(id='02OI', nombre='small_airport', latitud=41.801998138427734, longitud=-80.56539916992188, iso='US')
Aeropuerto(id='02OK', nombre='heliport', latitud=35.45840072631836, longitud=-97.52529907226562, iso='US')
Aeropuerto(id='02OR', nombre='small_airport', latitud=45.68149948120117, longitud=-121.31600189208984, iso='US')
Aeropuerto(id='02P', nombre='heliport', latitud=40.403596, longitud=-77.556602, iso='US')
Aeropuerto(id='02PA', nombre='heliport', latitud=40.43830108642578, longitud=-79.7699966430664, iso='US')
Aeropuerto(id='02PN', nombre='heliport', latitud=40.06959915161133, longitud=-75.4552001953125, iso='US')
Aeropuerto(id='02PR', nombre='small_airport', latitud=18.45330047607422, longitud=-66.36689758300781, iso='PR')
Aeropuerto(id='02PS', nombre='small_airport', latitud=41.90060043334961, longitud=-77.23030090332031, iso='US')
Aeropuerto(id='02SC', nombre='small_airport', latitud=32.75849914550781, longitud=-81.22480010986328, iso='US')
Aeropuerto(id='02T', nombre='small_airport', latitud=45.769100189208984, longitud=-112.98200225830078, iso='US')
Aeropuerto(id='02TA', nombre='heliport', latitud=28.721399307250977, longitud=-95.8738021850586, iso='US')
Aeropuerto(id='02TE', nombre='heliport', latitud=32.39540100097656, longitud=-96.86419677734375, iso='US')
Aeropuerto(id='02TN', nombre='small_airport', latitud=35.780601501464844, longitud=-86.58419799804688, iso='US')
Aeropuerto(id='02TS', nombre='closed', latitud=32.747601, longitud=-97.370003, iso='US')
Aeropuerto(id='02TX', nombre='small_airport', latitud=33.3704032898, longitud=-101.92288208, iso='US')
Aeropuerto(id='02UT', nombre='small_airport', latitud=41.36629867553711, longitud=-113.84300231933594, iso='US')
Aeropuerto(id='02VA', nombre='small_airport', latitud=38.435699462890625, longitud=-77.8572006225586, iso='US')
Aeropuerto(id='02VG', nombre='heliport', latitud=36.63880157470703, longitud=-82.11669921875, iso='US')
Aeropuerto(id='02WA', nombre='small_airport', latitud=47.15230178833008, longitud=-122.09400177001953, iso='US')
Aeropuerto(id='02WI', nombre='small_airport', latitud=45.031898498535156, longitud=-92.65579986572266, iso='US')
Aeropuerto(id='02WN', nombre='small_airport', latitud=48.74580001831055, longitud=-119.31900024414062, iso='US')
Aeropuerto(id='02XS', nombre='small_airport', latitud=30.1476993560791, longitud=-97.66280364990234, iso='US')
Aeropuerto(id='03AA', nombre='heliport', latitud=61.556055, longitud=-149.284527, iso='US')
Aeropuerto(id='03AK', nombre='seaplane_base', latitud=60.72722244262695, longitud=-151.13278198242188, iso='US')
Aeropuerto(id='03AL', nombre='heliport', latitud=34.662604, longitud=-86.046774, iso='US')
Aeropuerto(id='03AR', nombre='heliport', latitud=34.357601165771484, longitud=-92.78849792480469, iso='US')
Aeropuerto(id='03AZ', nombre='small_airport', latitud=31.433399200439453, longitud=-110.08399963378906, iso='US')
Aeropuerto(id='03CA', nombre='heliport', latitud=32.779484, longitud=-117.006952, iso='US')
Aeropuerto(id='03CO', nombre='small_airport', latitud=40.2125015259, longitud=-104.744003296, iso='US')
Aeropuerto(id='03FA', nombre='small_airport', latitud=27.353099822998047, longitud=-81.40809631347656, iso='US')
Aeropuerto(id='03FD', nombre='closed', latitud=30.8288, longitud=-85.731003, iso='US')
Aeropuerto(id='03FL', nombre='heliport', latitud=26.683700561523438, longitud=-80.18730163574219, iso='US')
Aeropuerto(id='03GA', nombre='small_airport', latitud=32.5623056, longitud=-81.8576944, iso='US')
Aeropuerto(id='03I', nombre='closed', latitud=39.644199, longitud=-83.018204, iso='US')
Aeropuerto(id='03IA', nombre='small_airport', latitud=41.58190155029297, longitud=-92.4613037109375, iso='US')
Aeropuerto(id='03ID', nombre='small_airport', latitud=44.7943000793457, longitud=-116.53299713134766, iso='US')
Aeropuerto(id='03II', nombre='small_airport', latitud=37.9620018005, longitud=-87.7789001465, iso='US')
Aeropuerto(id='03IL', nombre='small_airport', latitud=41.40230178833008, longitud=-87.81670379638672, iso='US')
Aeropuerto(id='03IN', nombre='small_airport', latitud=40.18000030517578, longitud=-86.01249694824219, iso='US')
Aeropuerto(id='03IS', nombre='heliport', latitud=38.904999, longitud=-90.173401, iso='US')
Aeropuerto(id='03KS', nombre='heliport', latitud=39.86470031738281, longitud=-95.26409912109375, iso='US')
Aeropuerto(id='03KY', nombre='small_airport', latitud=37.79169845581055, longitud=-87.54139709472656, iso='US')
Aeropuerto(id='03LA', nombre='heliport', latitud=30.199600219726562, longitud=-91.12789916992188, iso='US')
Aeropuerto(id='03LS', nombre='heliport', latitud=32.159000396728516, longitud=-91.70800018310547, iso='US')
Aeropuerto(id='03M', nombre='seaplane_base', latitud=44.320899963378906, longitud=-69.8895034790039, iso='US')
Aeropuerto(id='03MA', nombre='small_airport', latitud=42.39310073852539, longitud=-72.552001953125, iso='US')
Aeropuerto(id='03MD', nombre='heliport', latitud=39.522499084472656, longitud=-76.32669830322266, iso='US')
Aeropuerto(id='03ME', nombre='small_airport', latitud=44.08420181274414, longitud=-70.6272964477539, iso='US')
Aeropuerto(id='03MI', nombre='heliport', latitud=43.550899505615234, longitud=-83.86219787597656, iso='US')
Aeropuerto(id='03MN', nombre='small_airport', latitud=43.62519836425781, longitud=-95.22470092773438, iso='US')
Aeropuerto(id='03MO', nombre='closed', latitud=37.884499, longitud=-93.131599, iso='US')
Aeropuerto(id='03MS', nombre='heliport', latitud=32.31880187988281, longitud=-90.8832015991211, iso='US')
Aeropuerto(id='03MT', nombre='small_airport', latitud=47.27080154418945, longitud=-111.72200012207031, iso='US')
Aeropuerto(id='03MU', nombre='small_airport', latitud=38.4925003052, longitud=-94.41249847410002, iso='US')
Aeropuerto(id='03N', nombre='small_airport', latitud=11.222, longitud=169.852005, iso='MH')
Aeropuerto(id='03NC', nombre='small_airport', latitud=34.10430145263672, longitud=-77.9041976928711, iso='US')
Aeropuerto(id='03ND', nombre='small_airport', latitud=48.626399993896484, longitud=-97.8290023803711, iso='US')
Aeropuerto(id='03NE', nombre='small_airport', latitud=41.5463981628418, longitud=-99.3311996459961, iso='US')
Aeropuerto(id='03NH', nombre='heliport', latitud=42.815399169921875, longitud=-71.12439727783203, iso='US')
Aeropuerto(id='03NJ', nombre='heliport', latitud=40.668701171875, longitud=-74.410697937012, iso='US')
Aeropuerto(id='03NV', nombre='small_airport', latitud=40.58440017700195, longitud=-115.2979965209961, iso='US')
Aeropuerto(id='03NY', nombre='small_airport', latitud=40.95840072631836, longitud=-72.716796875, iso='US')
Aeropuerto(id='03OH', nombre='small_airport', latitud=41.418399810791016, longitud=-83.01740264892578, iso='US')
Aeropuerto(id='03OI', nombre='heliport', latitud=41.4208984375, longitud=-81.59980010986328, iso='US')
Aeropuerto(id='03OK', nombre='small_airport', latitud=36.04119873046875, longitud=-96.1613998413086, iso='US')
Aeropuerto(id='03OR', nombre='small_airport', latitud=45.85540008544922, longitud=-117.48400115966797, iso='US')
Aeropuerto(id='03PA', nombre='heliport', latitud=40.162899017333984, longitud=-75.4656982421875, iso='US')
Aeropuerto(id='03PN', nombre='heliport', latitud=41.066861, longitud=-76.180806, iso='US')
Aeropuerto(id='03PR', nombre='small_airport', latitud=39.065947, longitud=-94.921703, iso='US')
Aeropuerto(id='03PS', nombre='small_airport', latitud=40.849998474121094, longitud=-77.90560150146484, iso='US')
Aeropuerto(id='03S', nombre='small_airport', latitud=45.401798248291016, longitud=-122.22899627685547, iso='US')
Aeropuerto(id='03SC', nombre='heliport', latitud=33.8650016784668, longitud=-78.66190338134766, iso='US')
Aeropuerto(id='03TA', nombre='closed', latitud=30.262699, longitud=-96.500198, iso='US')
Aeropuerto(id='03TE', nombre='small_airport', latitud=27.491100311279297, longitud=-98.66950225830078, iso='US')
Aeropuerto(id='03TN', nombre='heliport', latitud=35.92250061035156, longitud=-83.57939910888672, iso='US')
Aeropuerto(id='03TS', nombre='heliport', latitud=31.45989990234375, longitud=-100.43800354003906, iso='US')
Aeropuerto(id='03TX', nombre='heliport', latitud=29.581600189208984, longitud=-95.30719757080078, iso='US')
Aeropuerto(id='03UT', nombre='small_airport', latitud=37.12080001831055, longitud=-109.98600006103516, iso='US')
Aeropuerto(id='03VA', nombre='closed', latitud=38.66460037231445, longitud=-77.57969665527344, iso='US')
Aeropuerto(id='03WA', nombre='small_airport', latitud=47.408199310302734, longitud=-117.37200164794922, iso='US')
Aeropuerto(id='03WI', nombre='small_airport', latitud=44.028873, longitud=-88.883945, iso='US')
Aeropuerto(id='03WN', nombre='small_airport', latitud=45.875, longitud=-120.66999816894531, iso='US')
Aeropuerto(id='03XS', nombre='small_airport', latitud=31.318099975585938, longitud=-100.75399780273438, iso='US')
Aeropuerto(id='04AA', nombre='small_airport', latitud=60.535833, longitud=-150.811387, iso='US')
Aeropuerto(id='04AL', nombre='heliport', latitud=33.62639999, longitud=-85.96720123, iso='US')
Aeropuerto(id='04AR', nombre='heliport', latitud=34.574319, longitud=-92.586047, iso='US')
Aeropuerto(id='04AZ', nombre='small_airport', latitud=36.15420150756836, longitud=-109.5510025024414, iso='US')
Aeropuerto(id='04CA', nombre='small_airport', latitud=34.5639, longitud=-117.675003, iso='US')
Aeropuerto(id='04CL', nombre='small_airport', latitud=33.08169937133789, longitud=-116.44100189208984, iso='US')
Aeropuerto(id='04CT', nombre='heliport', latitud=41.75510025024414, longitud=-73.05239868164062, iso='US')
Aeropuerto(id='04F', nombre='closed', latitud=32.098801, longitud=-98.525325, iso='US')
Aeropuerto(id='04FA', nombre='small_airport', latitud=25.558700561523438, longitud=-80.51509857177734, iso='US')
Aeropuerto(id='04FD', nombre='heliport', latitud=27.929372, longitud=-82.336981, iso='US')
Aeropuerto(id='04FL', nombre='small_airport', latitud=29.23940086364746, longitud=-81.22200012207031, iso='US')
Aeropuerto(id='04I', nombre='small_airport', latitud=39.91120147705078, longitud=-83.18879699707031, iso='US')
Aeropuerto(id='04IA', nombre='small_airport', latitud=41.08829879760742, longitud=-92.05460357666016, iso='US')
Aeropuerto(id='04ID', nombre='small_airport', latitud=43.87770080566406, longitud=-116.53700256347656, iso='US')
Aeropuerto(id='04II', nombre='small_airport', latitud=41.13059997558594, longitud=-84.99410247802734, iso='US')
